* Measurement data saved by REW V5.10
* Source: Input device not selected, no input selected, Left channel, volume: no control
* Format:  256k Log Swept Sine, 1 sweep at -3.0 dB FS
* Dated: Jan 8, 2016 10:50:44 AM
* Sense Resistor: 100.0
* Lead resistance: 0.000
* Calibration factor: 1.0060
* Note: Z woofer
* Measurement: WF Z
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	Z(Ohms)	Phase(degrees)
2381.676	8.234	17.893
2416.318	8.272	17.979
2451.464	8.310	18.051
2487.122	8.349	18.108
2523.298	8.388	18.146
2560.000	8.427	18.166
2597.236	8.464	18.168
2635.014	8.499	18.157
2673.341	8.532	18.138
2712.226	8.562	18.115
2751.676	8.589	18.091
2791.700	8.614	18.071
2832.306	8.636	18.060
2873.503	8.656	18.062
2915.299	8.674	18.081
2957.703	8.693	18.117
3000.724	8.712	18.167
3044.370	8.732	18.226
3088.652	8.753	18.292
3133.577	8.775	18.360
3179.156	8.798	18.429
3225.398	8.820	18.498
3272.312	8.843	18.569
3319.909	8.865	18.644
3368.198	8.888	18.725
3417.190	8.910	18.815
3466.894	8.934	18.914
3517.321	8.959	19.016
3568.482	8.985	19.117
3620.387	9.011	19.219
3673.046	9.038	19.325
3726.472	9.066	19.435
3780.675	9.096	19.546
3835.666	9.127	19.657
3891.457	9.159	19.763
3948.060	9.192	19.865
4005.486	9.226	19.962
4063.747	9.260	20.054
4122.855	9.294	20.142
4182.824	9.329	20.227
4243.664	9.363	20.310
4305.390	9.398	20.394
4368.013	9.432	20.476
4431.547	9.468	20.558
4496.005	9.504	20.640
4561.401	9.540	20.721
4627.749	9.577	20.800
4695.061	9.614	20.876
4763.352	9.652	20.949
4832.637	9.690	21.020
4902.929	9.728	21.087
4974.244	9.766	21.151
5046.596	9.805	21.213
5120.000	9.844	21.272
5194.472	9.882	21.331
5270.027	9.921	21.387
5346.682	9.960	21.443
5424.451	9.998	21.495
5503.352	10.037	21.545
5583.399	10.075	21.595
5664.612	10.114	21.646
5747.006	10.152	21.698
5830.598	10.191	21.750
5915.406	10.230	21.801
6001.447	10.270	21.851
6088.740	10.309	21.898
6177.303	10.349	21.943
6267.154	10.389	21.985
6358.312	10.428	22.023
6450.796	10.468	22.058
6544.625	10.506	22.092
6639.818	10.543	22.128
6736.397	10.580	22.167
6834.380	10.616	22.213
6933.789	10.652	22.265
7034.643	10.688	22.324
7136.964	10.725	22.387
7240.773	10.764	22.454
7346.093	10.803	22.521
7452.944	10.843	22.587
7561.350	10.884	22.652
7671.332	10.925	22.718
7782.915	10.966	22.786
7896.120	11.009	22.855
8010.971	11.052	22.923
8127.493	11.096	22.990
8245.711	11.141	23.055
8365.647	11.187	23.118
8487.328	11.234	23.177
8610.779	11.281	23.232
8736.026	11.329	23.282
8863.095	11.377	23.328
8992.011	11.425	23.370
9122.803	11.472	23.406
9255.497	11.519	23.441
9390.121	11.565	23.477
9526.704	11.611	23.510
9665.273	11.656	23.547
9805.857	11.700	23.589
9948.487	11.746	23.636
10093.191	11.793	23.684
10240.000	11.841	23.728
10388.944	11.890	23.768
10540.055	11.938	23.802
10693.363	11.987	23.830
10848.902	12.033	23.856
11006.703	12.079	23.884
11166.799	12.124	23.917
11329.224	12.169	23.957
11494.012	12.215	24.000
11661.195	12.262	24.047
11830.812	12.309	24.095
12002.895	12.358	24.143
12177.480	12.408	24.189
12354.606	12.458	24.232
12534.309	12.508	24.273
12716.624	12.558	24.311
12901.592	12.608	24.348
13089.250	12.658	24.385
13279.637	12.707	24.424
13472.794	12.757	24.465
13668.760	12.808	24.504
13867.577	12.859	24.542
14069.285	12.909	24.579
14273.928	12.960	24.614
14481.547	13.010	24.649
14692.186	13.060	24.684
14905.889	13.109	24.725
15122.700	13.158	24.770
15342.664	13.209	24.820
15565.829	13.260	24.869
15792.239	13.313	24.917
16021.942	13.367	24.961
16254.986	13.421	25.002
16491.422	13.475	25.041
16731.295	13.528	25.080
16974.656	13.581	25.121
17221.559	13.634	25.163
17472.053	13.687	25.207
17726.189	13.740	25.253
17984.021	13.793	25.297
18245.605	13.847	25.341
18510.994	13.899	25.383
18780.242	13.950	25.423
19053.408	13.997	25.458
19330.547	14.040	25.490
19611.715	14.074	25.515
19896.975	14.093	25.528
